Date,Time,Visitor Team,VisitorPts,Home Team,HomePts,Score Type,OT,Attend,Notes,HomeWin,HomeNumWins,VisitorNumWins,HomeWins2020,VisitorWins2020,HomeWinsBeforeAll,VisitorWinsBeforeAll
"Wed, Jan 20, 2021",7:00p,Boston Celtics,109,Philadelphia 76ers,117,Box Score,,0,,1,103,99,43,48,34,38
"Wed, Jan 20, 2021",7:30p,Detroit Pistons,115,Atlanta Hawks,123,Box Score,OT,0,,1,104,99,20,20,15,19
"Wed, Jan 20, 2021",7:30p,Miami Heat,111,Toronto Raptors,102,Box Score,,0,,0,105,99,53,44,40,35
"Wed, Jan 20, 2021",8:00p,Orlando Magic,97,Minnesota Timberwolves,96,Box Score,,0,,0,105,100,19,33,16,24
"Wed, Jan 20, 2021",9:30p,Phoenix Suns,109,Houston Rockets,103,Box Score,,"3,022",,0,105,101,44,34,34,22
"Wed, Jan 20, 2021",10:00p,San Antonio Spurs,99,Golden State Warriors,121,Box Score,,0,,1,105,102,15,32,12,23
"Wed, Jan 20, 2021",10:00p,Sacramento Kings,96,Los Angeles Clippers,115,Box Score,,0,,1,106,102,49,31,37,21
"Thu, Jan 21, 2021",7:30p,Los Angeles Lakers,113,Milwaukee Bucks,106,Box Score,,0,,0,107,102,56,52,46,41
"Thu, Jan 21, 2021",10:00p,New York Knicks,119,Golden State Warriors,104,Box Score,,0,,0,107,103,15,21,12,17
"Thu, Jan 21, 2021",10:00p,New Orleans Pelicans,118,Utah Jazz,129,Box Score,,"1,932",,1,107,104,44,30,36,23
"Fri, Jan 22, 2021",7:00p,Chicago Bulls,123,Charlotte Hornets,110,Box Score,,0,,0,108,104,23,22,18,19
"Fri, Jan 22, 2021",7:00p,Houston Rockets,103,Detroit Pistons,102,Box Score,,0,,0,108,105,20,44,19,34
"Fri, Jan 22, 2021",7:00p,Orlando Magic,118,Indiana Pacers,120,Box Score,OT,0,,1,108,106,45,33,32,24
"Fri, Jan 22, 2021",7:30p,Brooklyn Nets,113,Cleveland Cavaliers,125,Box Score,,"1,944",,1,109,106,19,35,14,25
"Fri, Jan 22, 2021",7:30p,Boston Celtics,110,Philadelphia 76ers,122,Box Score,,0,,1,110,106,43,48,34,38
"Fri, Jan 22, 2021",7:30p,Miami Heat,81,Toronto Raptors,101,Box Score,,0,,1,111,106,53,44,40,35
"Fri, Jan 22, 2021",8:00p,Atlanta Hawks,116,Minnesota Timberwolves,98,Box Score,,0,,0,112,106,19,20,16,15
"Fri, Jan 22, 2021",8:30p,Dallas Mavericks,122,San Antonio Spurs,117,Box Score,,0,,0,112,107,32,43,23,33
"Fri, Jan 22, 2021",10:00p,Oklahoma City Thunder,106,Los Angeles Clippers,120,Box Score,,0,,1,112,108,49,44,37,33
"Fri, Jan 22, 2021",10:00p,Denver Nuggets,130,Phoenix Suns,126,Box Score,OT,0,,0,113,108,34,46,22,38
"Fri, Jan 22, 2021",10:00p,New York Knicks,94,Sacramento Kings,103,Box Score,,0,,1,113,109,31,21,21,17
"Sat, Jan 23, 2021",8:00p,Miami Heat,124,Brooklyn Nets,128,Box Score,,0,,1,114,109,35,44,25,35
"Sat, Jan 23, 2021",8:00p,Philadelphia 76ers,114,Detroit Pistons,110,Box Score,,0,,0,115,109,20,43,19,34
"Sat, Jan 23, 2021",8:00p,New Orleans Pelicans,110,Minnesota Timberwolves,120,Box Score,,0,,1,115,110,19,30,16,23
"Sat, Jan 23, 2021",9:00p,Los Angeles Lakers,101,Chicago Bulls,90,Box Score,,0,,0,116,110,22,52,19,41
"Sat, Jan 23, 2021",9:00p,Houston Rockets,133,Dallas Mavericks,108,Box Score,,0,,0,116,111,43,44,33,34
"Sat, Jan 23, 2021",9:00p,Denver Nuggets,120,Phoenix Suns,112,Box Score,2OT,0,,0,116,112,34,46,22,38
"Sat, Jan 23, 2021",9:00p,Golden State Warriors,108,Utah Jazz,127,Box Score,,"1,932",,1,116,113,44,15,36,12
"Sun, Jan 24, 2021",1:00p,Toronto Raptors,107,Indiana Pacers,102,Box Score,,0,,0,117,113,45,53,32,40
"Sun, Jan 24, 2021",4:00p,Oklahoma City Thunder,100,Los Angeles Clippers,108,Box Score,,0,,1,117,114,49,44,37,33
"Sun, Jan 24, 2021",7:00p,Cleveland Cavaliers,103,Boston Celtics,141,Box Score,,0,,1,118,114,48,19,38,14
"Sun, Jan 24, 2021",7:00p,Charlotte Hornets,107,Orlando Magic,104,Box Score,,"3,507",,0,119,114,33,23,24,18
"Sun, Jan 24, 2021",8:00p,Atlanta Hawks,115,Milwaukee Bucks,129,Box Score,,0,,1,119,115,56,20,46,15
"Sun, Jan 24, 2021",8:00p,Washington Wizards,101,San Antonio Spurs,121,Box Score,,0,,1,120,115,32,25,23,20
"Sun, Jan 24, 2021",10:00p,New York Knicks,113,Portland Trail Blazers,116,Box Score,,0,,1,121,115,35,21,25,17
"Mon, Jan 25, 2021",7:00p,Philadelphia 76ers,104,Detroit Pistons,119,Box Score,,0,,1,122,115,20,43,19,34
"Mon, Jan 25, 2021",7:00p,Toronto Raptors,114,Indiana Pacers,129,Box Score,,0,,1,123,115,45,53,32,40
"Mon, Jan 25, 2021",7:00p,Charlotte Hornets,108,Orlando Magic,117,Box Score,,"3,167",,1,124,115,33,23,24,18
"Mon, Jan 25, 2021",7:30p,Miami Heat,85,Brooklyn Nets,98,Box Score,,0,,1,125,115,35,44,25,35
"Mon, Jan 25, 2021",8:00p,Los Angeles Lakers,115,Cleveland Cavaliers,108,Box Score,,0,,0,126,115,19,52,14,41
"Mon, Jan 25, 2021",8:30p,Denver Nuggets,117,Dallas Mavericks,113,Box Score,,0,,0,126,116,43,46,33,38
"Mon, Jan 25, 2021",9:00p,Boston Celtics,119,Chicago Bulls,103,Box Score,,0,,0,126,117,22,48,19,38
"Mon, Jan 25, 2021",10:00p,Minnesota Timberwolves,108,Golden State Warriors,130,Box Score,,0,,1,126,118,15,19,12,16
"Mon, Jan 25, 2021",10:00p,Oklahoma City Thunder,125,Portland Trail Blazers,122,Box Score,,0,,0,127,118,35,44,25,33
"Tue, Jan 26, 2021",7:30p,Los Angeles Clippers,99,Atlanta Hawks,108,Box Score,,"1,180",,1,127,119,20,49,15,37
"Tue, Jan 26, 2021",8:00p,Washington Wizards,88,Houston Rockets,107,Box Score,,"2,996",,1,128,119,44,25,34,20
"Tue, Jan 26, 2021",9:00p,New York Knicks,94,Utah Jazz,108,Box Score,,"1,932",,1,129,119,44,21,36,17
"Wed, Jan 27, 2021",7:00p,Indiana Pacers,116,Charlotte Hornets,106,Box Score,,0,,0,130,119,23,45,18,32
"Wed, Jan 27, 2021",7:00p,Detroit Pistons,107,Cleveland Cavaliers,122,Box Score,,"1,944",,1,130,120,19,20,14,19
"Wed, Jan 27, 2021",7:00p,Sacramento Kings,121,Orlando Magic,107,Box Score,,"3,216",,0,131,120,33,31,24,21
"Wed, Jan 27, 2021",7:30p,Brooklyn Nets,132,Atlanta Hawks,128,Box Score,OT,"1,008",,0,131,121,20,35,15,25
"Wed, Jan 27, 2021",7:30p,Denver Nuggets,109,Miami Heat,82,Box Score,,0,,0,131,122,44,46,35,38
"Wed, Jan 27, 2021",7:30p,Los Angeles Lakers,106,Philadelphia 76ers,107,Box Score,,0,,1,131,123,43,52,34,41
"Wed, Jan 27, 2021",7:30p,Milwaukee Bucks,115,Toronto Raptors,108,Box Score,,0,,0,132,123,53,56,40,46
"Wed, Jan 27, 2021",8:30p,Boston Celtics,106,San Antonio Spurs,110,Box Score,,0,,1,132,124,32,48,23,38
"Wed, Jan 27, 2021",9:00p,Washington Wizards,106,New Orleans Pelicans,124,Box Score,,750,,1,133,124,30,25,23,20
"Wed, Jan 27, 2021",9:00p,Oklahoma City Thunder,102,Phoenix Suns,97,Box Score,,0,,0,134,124,34,44,22,33
"Wed, Jan 27, 2021",9:00p,Dallas Mavericks,104,Utah Jazz,116,Box Score,,0,,1,134,125,44,43,36,33
"Wed, Jan 27, 2021",10:00p,Minnesota Timberwolves,111,Golden State Warriors,123,Box Score,,0,,1,135,125,15,19,12,16
"Thu, Jan 28, 2021",7:30p,Portland Trail Blazers,101,Houston Rockets,104,Box Score,,"3,154",,1,136,125,44,35,34,25
"Thu, Jan 28, 2021",8:00p,Los Angeles Lakers,92,Detroit Pistons,107,Box Score,,0,,1,137,125,20,52,19,41
"Thu, Jan 28, 2021",8:00p,Los Angeles Clippers,109,Miami Heat,105,Box Score,,0,,0,138,125,44,49,35,37
"Thu, Jan 28, 2021",10:00p,Golden State Warriors,93,Phoenix Suns,114,Box Score,,0,,1,138,126,34,15,22,12
"Fri, Jan 29, 2021",7:00p,Indiana Pacers,105,Charlotte Hornets,108,Box Score,,0,,1,139,126,23,45,18,32
"Fri, Jan 29, 2021",7:00p,Atlanta Hawks,116,Washington Wizards,100,Box Score,,0,,0,140,126,25,20,20,15
"Fri, Jan 29, 2021",7:30p,Milwaukee Bucks,126,New Orleans Pelicans,131,Box Score,,"1,440",,1,140,127,30,56,23,46
"Fri, Jan 29, 2021",7:30p,Cleveland Cavaliers,81,New York Knicks,102,Box Score,,0,,1,141,127,21,19,17,14
"Fri, Jan 29, 2021",7:30p,Sacramento Kings,126,Toronto Raptors,124,Box Score,,0,,0,142,127,53,31,40,21
"Fri, Jan 29, 2021",8:00p,Philadelphia 76ers,118,Minnesota Timberwolves,94,Box Score,,0,,0,142,128,19,43,16,34
"Fri, Jan 29, 2021",8:00p,Brooklyn Nets,147,Oklahoma City Thunder,125,Box Score,,0,,0,142,129,44,35,33,25
"Fri, Jan 29, 2021",8:00p,Los Angeles Clippers,116,Orlando Magic,90,Box Score,,"3,763",,0,142,130,33,49,24,37
"Fri, Jan 29, 2021",8:30p,Denver Nuggets,109,San Antonio Spurs,119,Box Score,,0,,1,142,131,32,46,23,38
"Fri, Jan 29, 2021",10:00p,Dallas Mavericks,101,Utah Jazz,120,Box Score,,"1,932",,1,143,131,44,43,36,33
"Sat, Jan 30, 2021",8:00p,Portland Trail Blazers,123,Chicago Bulls,122,Box Score,,0,,0,144,131,22,35,19,25
"Sat, Jan 30, 2021",8:00p,Milwaukee Bucks,114,Charlotte Hornets,126,Box Score,,0,,1,144,132,23,56,18,46
"Sat, Jan 30, 2021",8:00p,Sacramento Kings,104,Miami Heat,105,Box Score,,0,,1,145,132,44,31,35,21
"Sat, Jan 30, 2021",8:00p,Houston Rockets,126,New Orleans Pelicans,112,Box Score,,"1,440",,0,146,132,30,44,23,34
"Sat, Jan 30, 2021",8:30p,Los Angeles Lakers,96,Boston Celtics,95,Box Score,,0,,0,146,133,48,52,38,41
"Sat, Jan 30, 2021",8:30p,Memphis Grizzlies,129,San Antonio Spurs,112,Box Score,,0,,0,146,134,32,34,23,28
"Sat, Jan 30, 2021",9:00p,Phoenix Suns,111,Dallas Mavericks,105,Box Score,,0,,0,146,135,43,34,33,22
"Sat, Jan 30, 2021",10:00p,Detroit Pistons,91,Golden State Warriors,118,Box Score,,0,,1,146,136,15,20,12,19
"Sun, Jan 31, 2021",1:00p,Los Angeles Clippers,129,New York Knicks,115,Box Score,,0,,0,147,136,21,49,17,37
"Sun, Jan 31, 2021",3:30p,Utah Jazz,117,Denver Nuggets,128,Box Score,,0,,1,147,137,46,44,38,36
"Sun, Jan 31, 2021",7:00p,Philadelphia 76ers,119,Indiana Pacers,110,Box Score,,0,,0,148,137,45,43,32,34
"Sun, Jan 31, 2021",7:00p,Orlando Magic,102,Toronto Raptors,115,Box Score,,0,,1,148,138,53,33,40,24
"Sun, Jan 31, 2021",7:00p,Brooklyn Nets,146,Washington Wizards,149,Box Score,,0,,1,149,138,25,35,20,25
"Sun, Jan 31, 2021",8:00p,Cleveland Cavaliers,104,Minnesota Timberwolves,109,Box Score,,0,,1,150,138,19,19,16,14
"Mon, Feb 1, 2021",7:30p,Los Angeles Lakers,107,Atlanta Hawks,99,Box Score,,"1,341",,0,151,138,20,52,15,41
"Mon, Feb 1, 2021",7:30p,Charlotte Hornets,129,Miami Heat,121,Box Score,OT,0,,0,151,139,44,23,35,18
"Mon, Feb 1, 2021",8:00p,New York Knicks,102,Chicago Bulls,110,Box Score,,0,,1,151,140,22,21,19,17
"Mon, Feb 1, 2021",8:00p,Minnesota Timberwolves,98,Cleveland Cavaliers,100,Box Score,,0,,1,152,140,19,19,14,16
"Mon, Feb 1, 2021",8:00p,Portland Trail Blazers,106,Milwaukee Bucks,134,Box Score,,0,,1,153,140,56,35,46,25
"Mon, Feb 1, 2021",8:00p,Sacramento Kings,118,New Orleans Pelicans,109,Box Score,,"1,440",,0,154,140,30,31,23,21
"Mon, Feb 1, 2021",8:00p,Houston Rockets,136,Oklahoma City Thunder,106,Box Score,,0,,0,154,141,44,44,33,34
"Mon, Feb 1, 2021",8:30p,Phoenix Suns,109,Dallas Mavericks,108,Box Score,,0,,0,154,142,43,34,33,22
"Mon, Feb 1, 2021",8:30p,Memphis Grizzlies,133,San Antonio Spurs,102,Box Score,,0,,0,154,143,32,34,23,28
"Tue, Feb 2, 2021",7:00p,Toronto Raptors,123,Orlando Magic,108,Box Score,,"3,211",,0,154,144,33,53,24,40
"Tue, Feb 2, 2021",7:30p,Los Angeles Clippers,120,Brooklyn Nets,124,Box Score,,0,,1,154,145,35,49,25,37
"Tue, Feb 2, 2021",8:00p,Memphis Grizzlies,116,Indiana Pacers,134,Box Score,,0,,1,155,145,45,34,32,28
"Tue, Feb 2, 2021",8:00p,Portland Trail Blazers,132,Washington Wizards,121,Box Score,,0,,0,156,145,25,35,20,25
"Tue, Feb 2, 2021",10:00p,Boston Celtics,111,Golden State Warriors,107,Box Score,,0,,0,156,146,15,48,12,38
"Tue, Feb 2, 2021",10:00p,Detroit Pistons,105,Utah Jazz,117,Box Score,,"3,902",,1,156,147,44,20,36,19
"Wed, Feb 3, 2021",7:00p,Philadelphia 76ers,118,Charlotte Hornets,111,Box Score,,0,,0,157,147,23,43,18,34
"Wed, Feb 3, 2021",7:00p,Indiana Pacers,110,Milwaukee Bucks,130,Box Score,,0,,1,157,148,56,45,46,32
"Wed, Feb 3, 2021",7:30p,Dallas Mavericks,122,Atlanta Hawks,116,Box Score,,"1,259",,0,158,148,20,43,15,33
"Wed, Feb 3, 2021",8:00p,New York Knicks,107,Chicago Bulls,103,Box Score,,0,,0,158,149,22,21,19,17
"Wed, Feb 3, 2021",8:00p,Los Angeles Clippers,121,Cleveland Cavaliers,99,Box Score,,"1,944",,0,158,150,19,49,14,37
"Wed, Feb 3, 2021",8:00p,Washington Wizards,103,Miami Heat,100,Box Score,,0,,0,158,151,44,25,35,20
"Wed, Feb 3, 2021",8:00p,Houston Rockets,87,Oklahoma City Thunder,104,Box Score,,0,,1,158,152,44,44,33,34
"Wed, Feb 3, 2021",8:30p,Minnesota Timberwolves,108,San Antonio Spurs,111,Box Score,,0,,1,159,152,32,19,23,16
"Wed, Feb 3, 2021",9:30p,Phoenix Suns,101,New Orleans Pelicans,123,Box Score,,"1,440",,1,160,152,30,34,23,22
"Wed, Feb 3, 2021",10:00p,Boston Celtics,111,Sacramento Kings,116,Box Score,,0,,1,161,152,31,48,21,38
"Thu, Feb 4, 2021",7:30p,Utah Jazz,112,Atlanta Hawks,91,Box Score,,"1,261",,0,162,152,20,44,15,36
"Thu, Feb 4, 2021",7:30p,Golden State Warriors,147,Dallas Mavericks,116,Box Score,,0,,0,162,153,43,15,33,12
"Thu, Feb 4, 2021",8:00p,Portland Trail Blazers,121,Philadelphia 76ers,105,Box Score,,0,,0,162,154,43,35,34,25
"Thu, Feb 4, 2021",9:00p,Houston Rockets,115,Memphis Grizzlies,103,Box Score,,"1,762",,0,162,155,34,44,28,34
"Thu, Feb 4, 2021",10:00p,Denver Nuggets,93,Los Angeles Lakers,114,Box Score,,0,,1,162,156,52,46,41,38
"Fri, Feb 5, 2021",7:00p,New Orleans Pelicans,114,Indiana Pacers,113,Box Score,,0,,0,163,156,45,30,32,23
"Fri, Feb 5, 2021",7:00p,Chicago Bulls,119,Orlando Magic,123,Box Score,,"3,535",,1,163,157,33,22,24,19
"Fri, Feb 5, 2021",7:30p,Toronto Raptors,123,Brooklyn Nets,117,Box Score,,0,,0,164,157,35,53,25,40
"Fri, Feb 5, 2021",7:30p,Milwaukee Bucks,123,Cleveland Cavaliers,105,Box Score,,"2,720",,0,164,158,19,56,14,46
"Fri, Feb 5, 2021",8:00p,Utah Jazz,138,Charlotte Hornets,121,Box Score,,0,,0,164,159,23,44,18,36
"Fri, Feb 5, 2021",8:00p,Washington Wizards,95,Miami Heat,122,Box Score,,0,,1,164,160,44,25,35,20
"Fri, Feb 5, 2021",8:00p,Minnesota Timberwolves,106,Oklahoma City Thunder,103,Box Score,,0,,0,165,160,44,19,33,16
"Fri, Feb 5, 2021",9:00p,Detroit Pistons,92,Phoenix Suns,109,Box Score,,0,,1,165,161,34,20,22,19
"Fri, Feb 5, 2021",10:00p,Boston Celtics,119,Los Angeles Clippers,115,Box Score,,0,,0,166,161,49,48,37,38
"Sat, Feb 6, 2021",1:00p,Portland Trail Blazers,99,New York Knicks,110,Box Score,,0,,1,166,162,21,35,17,25
"Sat, Feb 6, 2021",5:00p,Denver Nuggets,114,Sacramento Kings,119,Box Score,,0,,1,167,162,31,46,21,38
"Sat, Feb 6, 2021",7:00p,Chicago Bulls,118,Orlando Magic,92,Box Score,,"3,880",,0,168,162,33,22,24,19
"Sat, Feb 6, 2021",8:00p,Toronto Raptors,121,Atlanta Hawks,132,Box Score,,991,,1,168,163,20,53,15,40
"Sat, Feb 6, 2021",8:00p,Milwaukee Bucks,124,Cleveland Cavaliers,99,Box Score,,"2,720",,0,169,163,19,56,14,46
"Sat, Feb 6, 2021",8:00p,San Antonio Spurs,111,Houston Rockets,106,Box Score,,"3,313",,0,169,164,44,32,34,23
"Sat, Feb 6, 2021",8:00p,Minnesota Timberwolves,118,Oklahoma City Thunder,120,Box Score,,0,,1,169,165,44,19,33,16
"Sat, Feb 6, 2021",8:00p,Brooklyn Nets,108,Philadelphia 76ers,124,Box Score,,0,,1,170,165,43,35,34,25
"Sat, Feb 6, 2021",8:30p,Golden State Warriors,132,Dallas Mavericks,134,Box Score,,0,,1,171,165,43,15,33,12
"Sat, Feb 6, 2021",9:00p,Memphis Grizzlies,109,New Orleans Pelicans,118,Box Score,,"1,440",,1,172,165,30,34,23,28
"Sat, Feb 6, 2021",10:00p,Detroit Pistons,129,Los Angeles Lakers,135,Box Score,2OT,0,,1,173,165,52,20,41,19
"Sun, Feb 7, 2021",1:00p,Washington Wizards,97,Charlotte Hornets,119,Box Score,,0,,1,174,165,23,25,18,20
"Sun, Feb 7, 2021",1:00p,Utah Jazz,103,Indiana Pacers,95,Box Score,,0,,0,175,165,45,44,32,36
"Sun, Feb 7, 2021",1:00p,Miami Heat,109,New York Knicks,103,Box Score,,0,,0,175,166,21,44,17,35
"Sun, Feb 7, 2021",2:00p,Boston Celtics,91,Phoenix Suns,100,Box Score,,"1,493",,1,175,167,34,48,22,38
"Sun, Feb 7, 2021",3:00p,Sacramento Kings,113,Los Angeles Clippers,110,Box Score,,0,,0,176,167,49,31,37,21
"Mon, Feb 8, 2021",7:00p,Houston Rockets,94,Charlotte Hornets,119,Box Score,,0,,1,176,168,23,44,18,34
"Mon, Feb 8, 2021",8:00p,Washington Wizards,105,Chicago Bulls,101,Box Score,,0,,0,177,168,22,25,19,20
"Mon, Feb 8, 2021",8:00p,Toronto Raptors,128,Memphis Grizzlies,113,Box Score,,"1,844",,0,177,169,34,53,28,40
"Mon, Feb 8, 2021",8:30p,Minnesota Timberwolves,122,Dallas Mavericks,127,Box Score,,"1,000",,1,177,170,43,19,33,16
"Mon, Feb 8, 2021",8:30p,Golden State Warriors,100,San Antonio Spurs,105,Box Score,,0,,1,178,170,32,15,23,12
"Mon, Feb 8, 2021",9:00p,Cleveland Cavaliers,113,Phoenix Suns,119,Box Score,,"1,485",,1,179,170,34,19,22,14
"Mon, Feb 8, 2021",9:30p,Milwaukee Bucks,125,Denver Nuggets,112,Box Score,,0,,0,180,170,46,56,38,46
"Mon, Feb 8, 2021",10:00p,Oklahoma City Thunder,112,Los Angeles Lakers,119,Box Score,OT,0,,1,180,171,52,44,41,33
"Tue, Feb 9, 2021",7:00p,Brooklyn Nets,111,Detroit Pistons,122,Box Score,,0,,1,181,171,20,35,19,25
"Tue, Feb 9, 2021",7:30p,New York Knicks,96,Miami Heat,98,Box Score,,0,,1,182,171,44,21,35,17
"Tue, Feb 9, 2021",7:30p,Houston Rockets,101,New Orleans Pelicans,130,Box Score,,"1,900",,1,183,171,30,44,23,34
"Tue, Feb 9, 2021",8:30p,Golden State Warriors,114,San Antonio Spurs,91,Box Score,,0,,0,184,171,32,15,23,12
"Tue, Feb 9, 2021",10:00p,Orlando Magic,97,Portland Trail Blazers,106,Box Score,,0,,1,184,172,35,33,25,24
"Tue, Feb 9, 2021",10:00p,Philadelphia 76ers,119,Sacramento Kings,111,Box Score,,0,,0,185,172,31,43,21,34
"Tue, Feb 9, 2021",10:00p,Boston Celtics,108,Utah Jazz,122,Box Score,,"3,902",,1,185,173,44,48,36,38
"Wed, Feb 10, 2021",7:00p,Toronto Raptors,137,Washington Wizards,115,Box Score,,0,,0,186,173,25,53,20,40
"Wed, Feb 10, 2021",7:30p,Atlanta Hawks,117,Dallas Mavericks,118,Box Score,,"1,000",,1,186,174,43,20,33,15
"Wed, Feb 10, 2021",8:00p,Indiana Pacers,94,Brooklyn Nets,104,Box Score,,0,,1,187,174,35,45,25,32
"Wed, Feb 10, 2021",8:00p,Charlotte Hornets,114,Memphis Grizzlies,130,Box Score,,"1,830",,1,188,174,34,23,28,18
"Wed, Feb 10, 2021",8:00p,Los Angeles Clippers,119,Minnesota Timberwolves,112,Box Score,,0,,0,189,174,19,49,16,37
"Wed, Feb 10, 2021",9:00p,New Orleans Pelicans,116,Chicago Bulls,129,Box Score,,0,,1,189,175,22,30,19,23
"Wed, Feb 10, 2021",9:00p,Cleveland Cavaliers,95,Denver Nuggets,133,Box Score,,0,,1,190,175,46,19,38,14
"Wed, Feb 10, 2021",10:00p,Oklahoma City Thunder,113,Los Angeles Lakers,114,Box Score,OT,0,,1,191,175,52,44,41,33
"Wed, Feb 10, 2021",10:00p,Milwaukee Bucks,124,Phoenix Suns,125,Box Score,,"1,491",,1,192,175,34,56,22,46
"Thu, Feb 11, 2021",7:30p,Toronto Raptors,106,Boston Celtics,120,Box Score,,0,,1,193,175,48,53,38,40
"Thu, Feb 11, 2021",7:30p,Miami Heat,101,Houston Rockets,94,Box Score,,"3,251",,0,194,175,44,44,34,35
"Thu, Feb 11, 2021",8:00p,Indiana Pacers,111,Detroit Pistons,95,Box Score,,0,,0,194,176,20,45,19,32
"Thu, Feb 11, 2021",10:00p,Orlando Magic,105,Golden State Warriors,111,Box Score,,0,,1,194,177,15,33,12,24
"Thu, Feb 11, 2021",10:00p,Philadelphia 76ers,114,Portland Trail Blazers,118,Box Score,,0,,1,195,177,35,43,25,34
"Fri, Feb 12, 2021",7:00p,Minnesota Timberwolves,114,Charlotte Hornets,120,Box Score,,0,,1,196,177,23,19,18,16
"Fri, Feb 12, 2021",7:00p,New York Knicks,109,Washington Wizards,91,Box Score,,0,,0,197,177,25,21,20,17
"Fri, Feb 12, 2021",7:30p,San Antonio Spurs,125,Atlanta Hawks,114,Box Score,,"1,451",,0,197,178,20,32,15,23
"Fri, Feb 12, 2021",7:30p,New Orleans Pelicans,130,Dallas Mavericks,143,Box Score,,"1,514",,1,197,179,43,30,33,23
"Fri, Feb 12, 2021",8:00p,Detroit Pistons,108,Boston Celtics,102,Box Score,,0,,0,198,179,48,20,38,19
"Fri, Feb 12, 2021",8:00p,Los Angeles Clippers,125,Chicago Bulls,106,Box Score,,0,,0,198,180,22,49,19,37
"Fri, Feb 12, 2021",9:00p,Oklahoma City Thunder,95,Denver Nuggets,97,Box Score,,0,,1,198,181,46,44,38,33
"Fri, Feb 12, 2021",9:00p,Milwaukee Bucks,115,Utah Jazz,129,Box Score,,"3,902",,1,199,181,44,56,36,46
"Fri, Feb 12, 2021",10:00p,Memphis Grizzlies,105,Los Angeles Lakers,115,Box Score,,0,,1,200,181,52,34,41,28
"Fri, Feb 12, 2021",10:00p,Cleveland Cavaliers,110,Portland Trail Blazers,129,Box Score,,0,,1,201,181,35,19,25,14
"Fri, Feb 12, 2021",10:00p,Orlando Magic,123,Sacramento Kings,112,Box Score,,0,,0,202,181,31,33,21,24
"Sat, Feb 13, 2021",3:00p,Philadelphia 76ers,111,Phoenix Suns,120,Box Score,,"1,652",,1,202,182,34,43,22,34
"Sat, Feb 13, 2021",7:30p,Indiana Pacers,125,Atlanta Hawks,113,Box Score,,"1,393",,0,203,182,20,45,15,32
"Sat, Feb 13, 2021",8:00p,Houston Rockets,99,New York Knicks,121,Box Score,,0,,1,203,183,21,44,17,34
"Sat, Feb 13, 2021",8:30p,Brooklyn Nets,134,Golden State Warriors,117,Box Score,,0,,0,204,183,15,35,12,25
"Sat, Feb 13, 2021",9:00p,Miami Heat,94,Utah Jazz,112,Box Score,,"3,902",,1,204,184,44,44,36,35
"Sun, Feb 14, 2021",1:00p,Boston Celtics,91,Washington Wizards,104,Box Score,,0,,1,205,184,25,48,20,38
"Sun, Feb 14, 2021",7:00p,San Antonio Spurs,122,Charlotte Hornets,110,Box Score,,0,,0,206,184,23,32,18,23
"Sun, Feb 14, 2021",7:00p,New Orleans Pelicans,112,Detroit Pistons,123,Box Score,,0,,1,206,185,20,30,19,23
"Sun, Feb 14, 2021",7:00p,Minnesota Timberwolves,116,Toronto Raptors,112,Box Score,,0,,0,207,185,53,19,40,16
"Sun, Feb 14, 2021",7:30p,Portland Trail Blazers,121,Dallas Mavericks,118,Box Score,,"2,211",,0,207,186,43,35,33,25
"Sun, Feb 14, 2021",8:00p,Milwaukee Bucks,109,Oklahoma City Thunder,114,Box Score,,0,,1,207,187,44,56,33,46
"Sun, Feb 14, 2021",9:00p,Orlando Magic,90,Phoenix Suns,109,Box Score,,"1,732",,1,208,187,34,33,22,24
"Sun, Feb 14, 2021",10:00p,Los Angeles Lakers,105,Denver Nuggets,122,Box Score,,0,,1,209,187,46,52,38,41
"Sun, Feb 14, 2021",10:00p,Cleveland Cavaliers,111,Los Angeles Clippers,128,Box Score,,0,,1,210,187,49,19,37,14
"Sun, Feb 14, 2021",10:00p,Memphis Grizzlies,124,Sacramento Kings,110,Box Score,,0,,0,211,187,31,34,21,28
"Mon, Feb 15, 2021",7:00p,Chicago Bulls,120,Indiana Pacers,112,Box Score,OT,0,,0,211,188,45,22,32,19
"Mon, Feb 15, 2021",7:00p,Houston Rockets,119,Washington Wizards,131,Box Score,,0,,1,211,189,25,44,20,34
"Mon, Feb 15, 2021",7:30p,Atlanta Hawks,112,New York Knicks,123,Box Score,,0,,1,212,189,21,20,17,15
"Mon, Feb 15, 2021",9:00p,Philadelphia 76ers,123,Utah Jazz,134,Box Score,,"3,902",,1,213,189,44,43,36,34
"Mon, Feb 15, 2021",10:00p,Cleveland Cavaliers,98,Golden State Warriors,129,Box Score,,,,1,214,189,15,19,12,14
"Mon, Feb 15, 2021",10:00p,Miami Heat,118,Los Angeles Clippers,125,Box Score,,0,,1,215,189,49,44,37,35
"Mon, Feb 15, 2021",10:00p,Brooklyn Nets,136,Sacramento Kings,125,Box Score,,0,,0,216,189,31,35,21,25
"Tue, Feb 16, 2021",7:00p,Denver Nuggets,99,Boston Celtics,112,Box Score,,0,,1,216,190,48,46,38,38
"Tue, Feb 16, 2021",8:00p,New Orleans Pelicans,144,Memphis Grizzlies,113,Box Score,,"1,982",,0,217,190,34,30,28,23
"Tue, Feb 16, 2021",8:00p,Toronto Raptors,124,Milwaukee Bucks,113,Box Score,,250,,0,217,191,56,53,46,40
